"","CHR_ID","ELEVATION","READ_DATE","DATUM_ADJ"
"1","01002300",1253.04,1993-05-17,"NGVD 29"
"2","01002300",1253.03,1993-05-22,"NGVD 29"
"3","01002300",1253.15,1993-05-31,"NGVD 29"
"4","01002300",1253.17,1993-06-09,"NGVD 29"
"5","01002300",1253.19,1993-06-14,"NGVD 29"
"6","01002300",1253.2,1993-06-21,"NGVD 29"
"7","01002300",1253.21,1993-06-28,"NGVD 29"
"8","01002300",1253.31,1993-07-06,"NGVD 29"
"9","01002300",1253.31,1993-07-12,"NGVD 29"
"10","01002300",1253.17,1993-07-20,"NGVD 29"
"11","01002300",1253,1993-08-02,"NGVD 29"
"12","01002300",1252.89,1993-08-10,"NGVD 29"
"13","01002300",1252.89,1993-08-17,"NGVD 29"
"14","01002300",1252.88,1993-08-23,"NGVD 29"
"15","01002300",1252.7,1993-09-05,"NGVD 29"
"16","01002300",1252.59,1993-09-13,"NGVD 29"
"17","01002300",1252.49,1993-09-28,"NGVD 29"
"18","01002300",1252.66,1994-03-01,"NGVD 29"
"19","01002300",1252.95,1994-05-10,"NGVD 29"
"20","01002300",1252.95,1994-05-12,"NGVD 29"
"21","01002300",1252.99,1994-05-19,"NGVD 29"
"22","01002300",1253.03,1994-05-25,"NGVD 29"
"23","01002300",1252.99,1994-06-01,"NGVD 29"
"24","01002300",1252.91,1994-06-10,"NGVD 29"
"25","01002300",1252.95,1994-06-17,"NGVD 29"
"26","01002300",1253.09,1994-06-22,"NGVD 29"
"27","01002300",1253.11,1994-06-23,"NGVD 29"
"28","01002300",1253.11,1994-06-30,"NGVD 29"
"29","01002300",1253.03,1994-07-07,"NGVD 29"
"30","01002300",1252.91,1994-07-14,"NGVD 29"
"31","01002300",1252.87,1994-07-22,"NGVD 29"
"32","01002300",1252.77,1994-07-31,"NGVD 29"
"33","01002300",1252.85,1994-08-04,"NGVD 29"
"34","01002300",1252.79,1994-08-11,"NGVD 29"
"35","01002300",1252.71,1994-08-18,"NGVD 29"
"36","01002300",1252.73,1994-08-26,"NGVD 29"
"37","01002300",1252.73,1994-09-01,"NGVD 29"
"38","01002300",1252.71,1994-09-10,"NGVD 29"
"39","01002300",1252.71,1994-09-13,"NGVD 29"
"40","01002300",1252.73,1994-09-23,"NGVD 29"
"41","01002300",1252.63,1994-10-04,"NGVD 29"
"42","01002300",1253.1,1995-05-04,"NGVD 29"
"43","01002300",1253.08,1995-05-10,"NGVD 29"
"44","01002300",1253.26,1995-05-17,"NGVD 29"
"45","01002300",1253.08,1995-05-24,"NGVD 29"
"46","01002300",1253.06,1995-05-30,"NGVD 29"
"47","01002300",1252.98,1995-06-07,"NGVD 29"
"48","01002300",1252.7,1995-06-12,"NGVD 29"
"49","01002300",1252.78,1995-06-14,"NGVD 29"
"50","01002300",1252.58,1995-06-28,"NGVD 29"
"51","01002300",1252.64,1995-07-06,"NGVD 29"
"52","01002300",1252.62,1995-07-12,"NGVD 29"
"53","01002300",1252.64,1995-07-19,"NGVD 29"
"54","01002300",1252.54,1995-07-26,"NGVD 29"
"55","01002300",1252.44,1995-08-02,"NGVD 29"
"56","01002300",1252.42,1995-08-09,"NGVD 29"
"57","01002300",1252.44,1995-08-16,"NGVD 29"
"58","01002300",1252.42,1995-08-23,"NGVD 29"
"59","01002300",1252.56,1995-08-30,"NGVD 29"
"60","01002300",1252.5,1995-09-06,"NGVD 29"
"61","01002300",1252.38,1995-09-13,"NGVD 29"
"62","01002300",1252.3,1995-09-23,"NGVD 29"
"63","01002300",1252.97,1996-05-24,"NGVD 29"
"64","01002300",1252.83,1996-06-03,"NGVD 29"
"65","01002300",1252.8,1996-06-10,"NGVD 29"
"66","01002300",1252.76,1996-06-17,"NGVD 29"
"67","01002300",1252.69,1996-06-24,"NGVD 29"
"68","01002300",1252.85,1996-07-01,"NGVD 29"
"69","01002300",1252.79,1996-07-08,"NGVD 29"
"70","01002300",1252.93,1996-07-15,"NGVD 29"
"71","01002300",1252.87,1996-07-18,"NGVD 29"
"72","01002300",1252.85,1996-07-23,"NGVD 29"
"73","01002300",1252.77,1996-07-29,"NGVD 29"
"74","01002300",1252.73,1996-08-05,"NGVD 29"
"75","01002300",1252.79,1996-08-12,"NGVD 29"
"76","01002300",1252.69,1996-08-19,"NGVD 29"
"77","01002300",1252.59,1996-08-25,"NGVD 29"
"78","01002300",1252.59,1996-09-02,"NGVD 29"
"79","01002300",1252.59,1996-09-09,"NGVD 29"
"80","01002300",1252.51,1996-09-20,"NGVD 29"
"81","01002300",1252.43,1996-09-24,"NGVD 29"
"82","01002300",1252.78,1997-05-06,"NGVD 29"
"83","01002300",1252.7,1997-05-17,"NGVD 29"
"84","01002300",1252.72,1997-05-25,"NGVD 29"
"85","01002300",1252.66,1997-06-01,"NGVD 29"
"86","01002300",1252.62,1997-06-07,"NGVD 29"
"87","01002300",1252.52,1997-06-14,"NGVD 29"
"88","01002300",1252.48,1997-06-22,"NGVD 29"
"89","01002300",1252.72,1997-06-29,"NGVD 29"
"90","01002300",1252.8,1997-07-07,"NGVD 29"
"91","01002300",1252.73,1997-07-12,"NGVD 29"
"92","01002300",1252.76,1997-07-13,"NGVD 29"
"93","01002300",1252.68,1997-07-22,"NGVD 29"
"94","01002300",1252.7,1997-07-27,"NGVD 29"
"95","01002300",1252.56,1997-08-04,"NGVD 29"
"96","01002300",1252.51,1997-08-10,"NGVD 29"
"97","01002300",1252.38,1997-08-18,"NGVD 29"
"98","01002300",1252.42,1997-08-23,"NGVD 29"
"99","01002300",1252.36,1997-08-31,"NGVD 29"
"100","01002300",1252.3,1997-09-07,"NGVD 29"
"101","01002300",1252.1,1997-12-03,"NGVD 29"
"102","01002300",1252.48,1998-04-29,"NGVD 29"
"103","01002300",1252.48,1998-04-29,"NGVD 29"
"104","01002300",1252.36,1998-05-10,"NGVD 29"
"105","01002300",1252.38,1998-05-19,"NGVD 29"
"106","01002300",1252.28,1998-05-26,"NGVD 29"
"107","01002300",1252.34,1998-06-08,"NGVD 29"
